1.55 kg
1.30 kg
1.22 kg
2.24 kg
1.54 kg
1.18 kg
2.60 kg
1.28 kg
2.14 kg
1.31 kg
1.32 kg
1.63 kg
1.27 kg
1.08 kg
1.13 kg
1.46 kg
1.85 kg
2.12 kg
0.98 kg
0.52 kg
1.65 kg
1.68 kg
1.62 kg
2.20 kg
2.09 kg
1.19 kg
1.09 kg
0.90 kg
1.64 kg
1.39 kg
1.52 kg
2.15 kg
1.80 kg
weight
1.60 kg
1.91 kg
1.81 kg
1.49 kg
1.59 kg
1.83 kg
2.50 kg
1.58 kg
3.10 kg
1.61 kg
1.73 kg
1.40 kg
1.99 kg
1.95 kg
2.22 kg
1.33 kg
0.88 kg
1.66 kg
1.37 kg
0.99 kg
1.51 kg
1.35 kg
1.20 kg
1.77 kg
1.23 kg
1.53 kg
1.57 kg
1.50 kg
2.30 kg
2.07 kg
2 kg
2.23 kg
1.72 kg
3.30 kg
1.90 kg
1.98 kg
1.74 kg
1.45 kg
1.82 kg
2.10 kg
1.34 kg
1.70 kg
0.54 kg
1.92 kg
2.38 kg
1 kg
1.41 kg
1.44 kg
1.48 kg
0.84 kg
1.16 kg
1.24 kg
1.38 kg
